Município;Dose;Total Doses Aplicadas
PRESIDENTE EPITÁCIO;1° DOSE;34967
PRESIDENTE BERNARDES;1° DOSE;14310
PRESIDENTE ALVES;1° DOSE;3655
PRATÂNIA;1° DOSE;5193
PRAIA GRANDE;1° DOSE;312903
PRADÓPOLIS;1° DOSE;16296
PRACINHA;1° DOSE;2945
POTIRENDABA;1° DOSE;15919
POTIM;1° DOSE;20617
PORTO FERREIRA;1° DOSE;49036
PORTO FELIZ;1° DOSE;49327
PORANGABA;1° DOSE;8800
POPULINA;1° DOSE;3991
PONTES GESTAL;1° DOSE;2337
PONTALINDA;1° DOSE;3694
PONTAL;1° DOSE;35598
PONGAÍ;1° DOSE;3188
POMPÉIA;1° DOSE;18803
POLONI;1° DOSE;5531
POÁ;1° DOSE;102394
PLATINA;1° DOSE;2947
PLANALTO;1° DOSE;4154
PITANGUEIRAS;1° DOSE;30984
PIRATININGA;1° DOSE;13116
PIRASSUNUNGA;1° DOSE;65728
PIRAPOZINHO;1° DOSE;22879
PIRAPORA DO BOM JESUS;1° DOSE;17607
PIRANGI;1° DOSE;9863
PIRAJUÍ;1° DOSE;20573
PIRAJU;1° DOSE;27747
PIRACICABA;1° DOSE;369556
PIRACAIA;1° DOSE;26265
PIQUETE;1° DOSE;11660
PIQUEROBI;1° DOSE;3059
PINHALZINHO;1° DOSE;13936
PINDORAMA;1° DOSE;13216
PINDAMONHANGABA;1° DOSE;145952
PILAR DO SUL;1° DOSE;26540
PIEDADE;1° DOSE;50434
PIACATU;1° DOSE;5029
PERUÍBE;1° DOSE;68929
PEREIRAS;1° DOSE;7476
PEREIRA BARRETO;1° DOSE;22506
PENÁPOLIS;1° DOSE;55106
PEDRO DE TOLEDO;1° DOSE;9231
PEDRINHAS PAULISTA;1° DOSE;2718
PEDREIRA;1° DOSE;40954
PEDREGULHO;1° DOSE;15147
PEDRANÓPOLIS;1° DOSE;2600
PEDRA BELA;1° DOSE;6041
PEDERNEIRAS;1° DOSE;39830
PAULO DE FARIA;1° DOSE;7828
PAULISTÂNIA;1° DOSE;1870
PAULÍNIA;1° DOSE;95912
PAULICÉIA;1° DOSE;6809
PATROCÍNIO PAULISTA;1° DOSE;13361
PARISI;1° DOSE;2437
PARIQUERA-AÇU;1° DOSE;18242
PARDINHO;1° DOSE;6660
PARAPUÃ;1° DOSE;9543
PARANAPUÃ;1° DOSE;3856
PARANAPANEMA;1° DOSE;17998
PARAÍSO;1° DOSE;5304
PARAIBUNA;1° DOSE;16076
PARAGUAÇU PAULISTA;1° DOSE;38353
PANORAMA;1° DOSE;13126
PALMITAL;1° DOSE;19462
PALMEIRA D'OESTE;1° DOSE;8383
PALMARES PAULISTA;1° DOSE;8560
PALESTINA;1° DOSE;10204
PACAEMBU;1° DOSE;14465
OUROESTE;1° DOSE;9495
OURO VERDE;1° DOSE;7011
OURINHOS;1° DOSE;95667
OSVALDO CRUZ;1° DOSE;28894
OSCAR BRESSANE;1° DOSE;2373
OSASCO;1° DOSE;679760
ORLÂNDIA;1° DOSE;34763
ORINDIÚVA;1° DOSE;5638
ORIENTE;1° DOSE;5716
ONDA VERDE;1° DOSE;4355
OLÍMPIA;1° DOSE;51592
ÓLEO;1° DOSE;2663
OCAUÇU;1° DOSE;3982
NUPORANGA;1° DOSE;6792
NOVO HORIZONTE;1° DOSE;35099
NOVAIS;1° DOSE;4027
NOVA ODESSA;1° DOSE;51079
NOVA LUZITÂNIA;1° DOSE;2726
NOVA INDEPENDÊNCIA;1° DOSE;4984
NOVA GUATAPORANGA;1° DOSE;2076
NOVA GRANADA;1° DOSE;17993
NOVA EUROPA;1° DOSE;8659
NOVA CASTILHO;1° DOSE;1039
NOVA CANAÃ PAULISTA;1° DOSE;1834
NOVA CAMPINA;1° DOSE;8207
NOVA ALIANÇA;1° DOSE;6399
NIPOÃ;1° DOSE;4520
NHANDEARA;1° DOSE;9326
NEVES PAULISTA;1° DOSE;8655
NAZARÉ PAULISTA;1° DOSE;16878
NATIVIDADE DA SERRA;1° DOSE;6434
NARANDIBA;1° DOSE;4962
NÃO INFORMADO;1° DOSE;134902
NANTES;1° DOSE;2538
MURUTINGA DO SUL;1° DOSE;3560
MOTUCA;1° DOSE;3843
MORUNGABA;1° DOSE;13084
MORRO AGUDO;1° DOSE;25557
MONTEIRO LOBATO;1° DOSE;4149
MONTE MOR;1° DOSE;58443
MONTE CASTELO;1° DOSE;3680
MONTE AZUL PAULISTA;1° DOSE;16744
MONTE APRAZÍVEL;1° DOSE;20222
MONTE ALTO;1° DOSE;43786
MONTE ALEGRE DO SUL;1° DOSE;7122
MONGAGUÁ;1° DOSE;55995
MONÇÕES;1° DOSE;1921
MOMBUCA;1° DOSE;3514
MOGI MIRIM;1° DOSE;85141
MOGI GUAÇU;1° DOSE;133585
MOGI DAS CRUZES;1° DOSE;387232
MOCOCA;1° DOSE;63856
MIRASSOLÂNDIA;1° DOSE;4671
MIRASSOL;1° DOSE;54332
MIRANTE DO PARANAPANEMA;1° DOSE;14910
MIRANDÓPOLIS;1° DOSE;26087
MIRACATU;1° DOSE;18011
MIRA ESTRELA;1° DOSE;2769
MINEIROS DO TIETÊ;1° DOSE;10485
MIGUELÓPOLIS;1° DOSE;18049
MESÓPOLIS;1° DOSE;1985
MERIDIANO;1° DOSE;3909
MENDONÇA;1° DOSE;5740
MAUÁ;1° DOSE;368567
MATÃO;1° DOSE;75664
MARTINÓPOLIS;1° DOSE;23615
MARINÓPOLIS;1° DOSE;1770
MARÍLIA;1° DOSE;214982
MARIÁPOLIS;1° DOSE;3225
MARAPOAMA;1° DOSE;2908
MARACAÍ;1° DOSE;11938
MARABÁ PAULISTA;1° DOSE;4722
MANDURI;1° DOSE;9038
MAIRIPORÃ;1° DOSE;83065
MAIRINQUE;1° DOSE;49931
MAGDA;1° DOSE;2918
MACEDÔNIA;1° DOSE;3565
MACAUBAL;1° DOSE;6894
MACATUBA;1° DOSE;14603
LUTÉCIA;1° DOSE;2462
LUPÉRCIO;1° DOSE;3806
LUIZIÂNIA;1° DOSE;4528
LUÍS ANTÔNIO;1° DOSE;11395
LUCIANÓPOLIS;1° DOSE;2400
LUCÉLIA;1° DOSE;18479
LOUVEIRA;1° DOSE;46293
LOURDES;1° DOSE;2065
LORENA;1° DOSE;76038
LINS;1° DOSE;68359
LINDÓIA;1° DOSE;6496
LIMEIRA;1° DOSE;260872
LENÇÓIS PAULISTA;1° DOSE;59780
LEME;1° DOSE;89217
LAVRINHAS;1° DOSE;5717
LAVÍNIA;1° DOSE;10534
LARANJAL PAULISTA;1° DOSE;26334
LAGOINHA;1° DOSE;5091
JUQUITIBA;1° DOSE;29031
JUQUIÁ;1° DOSE;16130
JUNQUEIRÓPOLIS;1° DOSE;18729
JUNDIAÍ;1° DOSE;390748
JUMIRIM;1° DOSE;3252
JÚLIO MESQUITA;1° DOSE;4045
JOSÉ BONIFÁCIO;1° DOSE;32687
JOÃO RAMALHO;1° DOSE;3968
JOANÓPOLIS;1° DOSE;12442
JERIQUARA;1° DOSE;3335
JAÚ;1° DOSE;119343
JARINU;1° DOSE;32241
JARDINÓPOLIS;1° DOSE;40495
JANDIRA;1° DOSE;105051
JAMBEIRO;1° DOSE;5335
JALES;1° DOSE;44471
JAGUARIÚNA;1° DOSE;53932
JACUPIRANGA;1° DOSE;14476
JACI;1° DOSE;7035
JACAREÍ;1° DOSE;207976
JABOTICABAL;1° DOSE;66668
JABORANDI;1° DOSE;5633
ITUVERAVA;1° DOSE;34268
ITUPEVA;1° DOSE;59889
ITU;1° DOSE;161731
ITOBI;1° DOSE;7098
ITIRAPUÃ;1° DOSE;5645
ITIRAPINA;1° DOSE;15659
ITATINGA;1° DOSE;17511
ITATIBA;1° DOSE;105687
ITARIRI;1° DOSE;13277
ITARARÉ;1° DOSE;41222
ITAQUAQUECETUBA;1° DOSE;319642
ITAPURA;1° DOSE;3737
ITAPUÍ;1° DOSE;12051
ITAPORANGA;1° DOSE;13427
ITÁPOLIS;1° DOSE;36111
ITAPIRAPUÃ PAULISTA;1° DOSE;4039
ITAPIRA;1° DOSE;66867
ITAPEVI;1° DOSE;218146
ITAPEVA;1° DOSE;85687
ITAPETININGA;1° DOSE;144759
ITAPECERICA DA SERRA;1° DOSE;146553
ITAOCA;1° DOSE;3256
ITANHAÉM;1° DOSE;104289
ITAJU;1° DOSE;3250
ITAJOBI;1° DOSE;14852
ITAÍ;1° DOSE;24431
ITABERÁ;1° DOSE;16816
IRAPURU;1° DOSE;7291
IRAPUÃ;1° DOSE;6442
IRACEMÁPOLIS;1° DOSE;19676
IPUÃ;1° DOSE;13410
IPORANGA;1° DOSE;3589
IPIGUÁ;1° DOSE;5439
IPEÚNA;1° DOSE;5879
IPERÓ;1° DOSE;29835
IPAUSSU;1° DOSE;12176
INÚBIA PAULISTA;1° DOSE;3332
INDIAPORÃ;1° DOSE;3776
INDIANA;1° DOSE;4427
INDAIATUBA;1° DOSE;234748
ILHABELA;1° DOSE;35650
ILHA SOLTEIRA;1° DOSE;24014
ILHA COMPRIDA;1° DOSE;12500
IGUAPE;1° DOSE;27099
IGARATÁ;1° DOSE;10179
IGARAPAVA;1° DOSE;24090
IGARAÇU DO TIETÊ;1° DOSE;20897
IEPÊ;1° DOSE;7105
ICÉM;1° DOSE;7011
IBIÚNA;1° DOSE;73166
IBITINGA;1° DOSE;52678
IBIRAREMA;1° DOSE;5963
IBIRÁ;1° DOSE;10837
IBATÉ;1° DOSE;30449
IARAS;1° DOSE;8116
IACRI;1° DOSE;5720
IACANGA;1° DOSE;9918
HORTOLÂNDIA;1° DOSE;205739
HOLAMBRA;1° DOSE;14918
HERCULÂNDIA;1° DOSE;7807
GUZOLÂNDIA;1° DOSE;4158
GUATAPARÁ;1° DOSE;6919
GUARULHOS;1° DOSE;1177217
GUARUJÁ;1° DOSE;282990
GUARIBA;1° DOSE;34593
GUAREÍ;1° DOSE;14459
GUARATINGUETÁ;1° DOSE;106068
GUARAREMA;1° DOSE;29509
GUARARAPES;1° DOSE;28144
GUARANTÃ;1° DOSE;5680
GUARANI D'OESTE;1° DOSE;1904
GUARACI;1° DOSE;9366
GUARAÇAÍ;1° DOSE;6908
GUARÁ;1° DOSE;17380
GUAPIARA;1° DOSE;16296
GUAPIAÇU;1° DOSE;19409
GUAÍRA;1° DOSE;36563
GUAIMBÊ;1° DOSE;4937
GUAIÇARA;1° DOSE;10425
GLICÉRIO;1° DOSE;3995
GETULINA;1° DOSE;9747
GENERAL SALGADO;1° DOSE;9362
GAVIÃO PEIXOTO;1° DOSE;4423
GASTÃO VIDIGAL;1° DOSE;3169
GARÇA;1° DOSE;38362
GÁLIA;1° DOSE;6103
GABRIEL MONTEIRO;1° DOSE;2571
FRANCO DA ROCHA;1° DOSE;140360
FRANCISCO MORATO;1° DOSE;156796
FRANCA;1° DOSE;311791
FLORÍNEA;1° DOSE;4299
FLÓRIDA PAULISTA;1° DOSE;10965
FLOREAL;1° DOSE;2672
FLORA RICA;1° DOSE;1412
FERRAZ DE VASCONCELOS;1° DOSE;149273
FERNÃO;1° DOSE;1614
FERNANDÓPOLIS;1° DOSE;65270
FERNANDO PRESTES;1° DOSE;5417
FARTURA;1° DOSE;14774
EUCLIDES DA CUNHA PAULISTA;1° DOSE;7287
ESTRELA DO NORTE;1° DOSE;2534
ESTRELA D'OESTE;1° DOSE;8070
ESTIVA GERBI;1° DOSE;9965
ESPÍRITO SANTO DO TURVO;1° DOSE;4474
ESPÍRITO SANTO DO PINHAL;1° DOSE;38332
ENGENHEIRO COELHO;1° DOSE;17912
EMILIANÓPOLIS;1° DOSE;2781
EMBU-GUAÇU;1° DOSE;58859
EMBU DAS ARTES;1° DOSE;234890
EMBAÚBA;1° DOSE;2037
ELISIÁRIO;1° DOSE;2890
ELIAS FAUSTO;1° DOSE;16023
ELDORADO;1° DOSE;12389
ECHAPORÃ;1° DOSE;5886
DUMONT;1° DOSE;9212
DUARTINA;1° DOSE;11629
DRACENA;1° DOSE;41322
DOURADO;1° DOSE;8125
DOLCINÓPOLIS;1° DOSE;2262
DOIS CÓRREGOS;1° DOSE;22636
DOBRADA;1° DOSE;7766
DIVINOLÂNDIA;1° DOSE;11243
DIRCE REIS;1° DOSE;1603
DIADEMA;1° DOSE;374593
DESCALVADO;1° DOSE;29963
CUNHA;1° DOSE;19859
CUBATÃO;1° DOSE;100775
CRUZEIRO;1° DOSE;71178
CRUZÁLIA;1° DOSE;1964
CRISTAIS PAULISTA;1° DOSE;8128
CRAVINHOS;1° DOSE;31475
COTIA;1° DOSE;223510
COSMORAMA;1° DOSE;7869
COSMÓPOLIS;1° DOSE;51009
CORUMBATAÍ;1° DOSE;3730
CORONEL MACEDO;1° DOSE;4291
COROADOS;1° DOSE;4948
CORDEIRÓPOLIS;1° DOSE;22475
CONCHAS;1° DOSE;15196
CONCHAL;1° DOSE;25985
COLÔMBIA;1° DOSE;6234
COLINA;1° DOSE;16480
CLEMENTINA;1° DOSE;6445
CHAVANTES;1° DOSE;11014
CHARQUEADA;1° DOSE;14779
CESÁRIO LANGE;1° DOSE;17144
CERQUILHO;1° DOSE;41687
CERQUEIRA CÉSAR;1° DOSE;21260
CEDRAL;1° DOSE;9721
CATIGUÁ;1° DOSE;6709
CATANDUVA;1° DOSE;105132
CASTILHO;1° DOSE;18055
CÁSSIA DOS COQUEIROS;1° DOSE;2592
CASA BRANCA;1° DOSE;26241
CARDOSO;1° DOSE;11001
CARAPICUÍBA;1° DOSE;364801
CARAGUATATUBA;1° DOSE;116658
CAPIVARI;1° DOSE;45831
CAPELA DO ALTO;1° DOSE;21549
CAPÃO BONITO;1° DOSE;42401
CANITAR;1° DOSE;4708
CÂNDIDO RODRIGUES;1° DOSE;2692
CÂNDIDO MOTA;1° DOSE;26862
CANAS;1° DOSE;4086
CANANÉIA;1° DOSE;11875
CAMPOS NOVOS PAULISTA;1° DOSE;4336
CAMPOS DO JORDÃO;1° DOSE;46585
CAMPO LIMPO PAULISTA;1° DOSE;71182
CAMPINAS;1° DOSE;1051253
CAMPINA DO MONTE ALEGRE;1° DOSE;5768
CAJURU;1° DOSE;22273
CAJOBI;1° DOSE;8592
CAJATI;1° DOSE;26385
CAJAMAR;1° DOSE;82877
CAIUÁ;1° DOSE;6928
CAIEIRAS;1° DOSE;85121
CAIABU;1° DOSE;3477
CAFELÂNDIA;1° DOSE;15110
CACONDE;1° DOSE;16723
CACHOEIRA PAULISTA;1° DOSE;27170
CAÇAPAVA;1° DOSE;85054
CABREÚVA;1° DOSE;46023
CABRÁLIA PAULISTA;1° DOSE;3955
BURITIZAL;1° DOSE;3821
BURITAMA;1° DOSE;15489
BURI;1° DOSE;18437
BROTAS;1° DOSE;21703
BRODOWSKI;1° DOSE;22622
BREJO ALEGRE;1° DOSE;2415
BRAÚNA;1° DOSE;4848
BRAGANÇA PAULISTA;1° DOSE;165894
BOTUCATU;1° DOSE;150698
BOREBI;1° DOSE;2364
BORBOREMA;1° DOSE;13377
BORACÉIA;1° DOSE;4423
BORÁ;1° DOSE;908
BOM SUCESSO DE ITARARÉ;1° DOSE;3511
BOM JESUS DOS PERDÕES;1° DOSE;22297
BOITUVA;1° DOSE;53859
BOFETE;1° DOSE;9770
BOCAINA;1° DOSE;10132
BOA ESPERANÇA DO SUL;1° DOSE;12230
BIRITIBA MIRIM;1° DOSE;27338
BIRIGUI;1° DOSE;104443
BILAC;1° DOSE;6855
BERTIOGA;1° DOSE;63432
BERNARDINO DE CAMPOS;1° DOSE;11276
BENTO DE ABREU;1° DOSE;2345
BEBEDOURO;1° DOSE;69120
BAURU;1° DOSE;344049
BATATAIS;1° DOSE;54777
BASTOS;1° DOSE;20410
BARUERI;1° DOSE;269428
BARRINHA;1° DOSE;27874
BARRETOS;1° DOSE;114171
BARRA DO TURVO;1° DOSE;6996
BARRA DO CHAPÉU;1° DOSE;5004
BARRA BONITA;1° DOSE;31604
BARIRI;1° DOSE;27736
BARBOSA;1° DOSE;5908
BARÃO DE ANTONINA;1° DOSE;3298
BANANAL;1° DOSE;9354
BÁLSAMO;1° DOSE;8253
BALBINOS;1° DOSE;4718
BADY BASSITT;1° DOSE;18933
AVARÉ;1° DOSE;84681
AVANHANDAVA;1° DOSE;10699
AVAÍ;1° DOSE;4813
AURIFLAMA;1° DOSE;11953
ATIBAIA;1° DOSE;141134
ASSIS;1° DOSE;90456
ASPÁSIA;1° DOSE;1781
ARUJÁ;1° DOSE;77765
ARTUR NOGUEIRA;1° DOSE;46154
ARIRANHA;1° DOSE;7242
AREIÓPOLIS;1° DOSE;8746
AREIAS;1° DOSE;3463
AREALVA;1° DOSE;7621
ARCO-ÍRIS;1° DOSE;1919
ARARAS;1° DOSE;118140
ARARAQUARA;1° DOSE;219566
ARAPEÍ;1° DOSE;2240
ARANDU;1° DOSE;6070
ARAMINA;1° DOSE;4924
ARAÇOIABA DA SERRA;1° DOSE;29807
ARAÇATUBA;1° DOSE;179089
ARAÇARIGUAMA;1° DOSE;20010
APIAÍ;1° DOSE;22353
APARECIDA D'OESTE;1° DOSE;4078
APARECIDA;1° DOSE;30559
ANHUMAS;1° DOSE;3621
ANHEMBI;1° DOSE;5808
ANGATUBA;1° DOSE;21369
ANDRADINA;1° DOSE;51872
ANALÂNDIA;1° DOSE;4094
AMPARO;1° DOSE;65064
AMÉRICO DE CAMPOS;1° DOSE;5278
AMÉRICO BRASILIENSE;1° DOSE;31585
AMERICANA;1° DOSE;206565
ALVINLÂNDIA;1° DOSE;2720
ÁLVARO DE CARVALHO;1° DOSE;5858
ÁLVARES MACHADO;1° DOSE;22051
ÁLVARES FLORENCE;1° DOSE;3674
ALUMÍNIO;1° DOSE;15702
ALTO ALEGRE;1° DOSE;3631
ALTINÓPOLIS;1° DOSE;15174
ALTAIR;1° DOSE;3220
ALFREDO MARCONDES;1° DOSE;4246
ALAMBARI;1° DOSE;5207
AGUDOS;1° DOSE;35315
ÁGUAS DE SÃO PEDRO;1° DOSE;3803
ÁGUAS DE SANTA BÁRBARA;1° DOSE;5927
ÁGUAS DE LINDÓIA;1° DOSE;17547
ÁGUAS DA PRATA;1° DOSE;7172
AGUAÍ;1° DOSE;30607
ADOLFO;1° DOSE;4182
ADAMANTINA;1° DOSE;31769
